日期,小红书_koc,抖音_koc,抖音_直播,微博_热搜位,百度_热搜位,长视频_独家冠名,论坛_大V,央视_黄金档硬广,央视_黄金档冠名,央视频,AI_问答类,天猫_站内,天猫_站外,京东_站内,京东_站外,电梯广告_写字楼,电梯广告_小区,商场大屏,机场,高铁,候车亭,户外广告牌,全域投放量,大促热度,市场竞争指数,品牌大众认知指数,品牌社媒搜索指数,品牌电商搜索指数,品牌线上销量指数,品牌线下销量指数
2022/1/29,7166,1487,901,87658,1296,84461,2894,98597,86264,6804,869,643,867,753,821,9144,6357,8286,51131,44148,5753,7206,14112.87649,11,5,78,39,8,87,56
2022/1/30,9854,3013,529,40242,1088,63620,1012,70398,65936,8205,873,531,683,838,756,926,604,45933,41622,27841,8488,9459,32567.59462,47,30,76,3,23,35,97
2022/1/31,2329,1618,606,44720,1392,33770,2667,45057,61742,6792,961,881,650,534,858,1493,6016,56003,35864,10002,9754,3493,17288.07789,79,47,10,41,79,42,49
2022/2/1,8074,1874,551,98892,2077,23418,2258,42664,81551,3384,844,696,782,754,812,7984,1758,42244,43881,53422,8706,8237,69266.75905,82,63,60,83,54,40,82
2022/2/2,5952,3575,538,46715,838,74906,1372,99350,58772,2182,664,856,910,917,553,9867,9193,25067,12985,25036,8714,9848,66310.12716,3,45,40,72,58,93,97
2022/2/3,7325,3785,822,13620,977,14232,2403,68845,90786,6949,508,957,509,726,604,2270,6764,38916,55591,29039,9312,1184,12513.8284,87,3,26,19,29,55,42
2022/2/4,3295,3300,562,32703,1384,63461,2457,37696,78845,8031,926,985,798,593,956,4378,628,25836,10172,14544,8202,5349,15124.6322,63,34,27,63,69,26,22
2022/2/5,8005,4741,711,60217,1656,12531,1606,59102,64055,5554,746,997,722,721,760,9612,1020,27454,14455,10125,9672,2983,634.1778925,2,48,62,77,69,74,62
2022/2/6,5287,3454,577,63009,2855,69796,1652,53847,72068,8213,513,689,762,830,783,9354,3567,7136,51532,46024,8774,8214,8330.019874,94,9,90,14,6,15,49
2022/2/7,9763,1369,636,90058,484,71058,1601,63321,75442,9974,603,990,645,665,753,6481,4914,51735,19728,19065,7070,5708,16098.86721,69,92,41,30,18,80,13
2022/2/8,2468,3206,631,41614,1400,45865,2470,62393,70492,7830,984,798,939,686,593,5955,4616,59007,14012,55205,5594,1756,11317.48853,71,85,67,92,18,55,36
2022/2/9,3406,2198,562,41153,1964,97140,1702,71227,70907,5010,615,670,557,887,618,1375,7488,14600,23651,56434,9620,8399,67584.5324,14,97,55,12,42,22,77
2022/2/10,6276,4700,996,41562,2624,42683,334,83348,74947,1887,899,512,738,873,857,5861,4678,56576,12477,38374,9927,3248,1915.546426,83,70,72,64,54,3,8
2022/2/11,1739,3588,688,23158,1473,42850,124,77401,72298,5529,878,616,771,528,974,8760,5082,36550,57107,42320,8101,7752,3084.014468,70,3,80,73,94,0,78
2022/2/12,4185,3543,585,42345,2754,18541,334,77974,66060,4283,515,959,899,924,820,1764,4435,41331,45714,11497,6436,1761,70548.96561,40,79,51,7,4,46,64
2022/2/13,3195,4065,573,27444,2130,55429,829,43572,83278,1572,798,827,910,721,693,2986,8295,54977,40056,51183,6778,1264,67931.98423,91,27,92,80,27,56,31
2022/2/14,4177,4758,647,58813,2117,93197,985,91151,51814,3927,982,835,578,937,799,9708,2259,29489,47804,11723,9133,4971,90403.6042,65,44,37,28,76,32,0
2022/2/15,8928,4304,956,68201,649,41585,2281,52124,83072,5005,873,851,974,728,917,3135,6817,56286,10749,11817,8516,9262,54215.97986,87,55,46,15,19,26,5
2022/2/16,6396,2879,884,96184,1560,18773,1774,87119,62781,5705,568,761,850,529,575,935,4255,27340,50834,19887,7906,6927,83679.06141,75,78,93,85,48,22,50
2022/2/17,7106,3381,776,7487,1439,59394,1544,83101,92932,6764,961,782,724,979,730,2716,4119,55742,19996,22579,8141,8319,60672.13846,37,56,94,14,24,70,15
2022/2/18,9464,2359,977,31634,671,46671,1199,31411,91588,8628,904,939,946,969,671,1407,7064,12159,43107,18629,7416,9368,8320.774942,12,61,1,75,86,61,55
2022/2/19,9619,2247,973,51682,966,20913,1239,57315,96487,3809,921,657,799,614,626,9079,1484,53979,43493,50554,8898,9809,42494.98444,60,78,4,6,81,86,11
2022/2/20,8600,3492,766,78035,1181,53480,448,44006,72528,2780,728,824,621,730,960,5802,5803,42400,49688,24906,9759,5337,49687.62248,85,50,0,8,90,53,69
2022/2/21,8810,4980,675,98571,336,95811,1630,79720,96855,4228,711,554,564,546,787,9899,4012,50285,41244,12763,8192,7858,50549.58182,34,83,83,32,20,40,47
2022/2/22,4516,4644,979,43714,2159,87899,1505,31022,64751,2226,618,981,781,678,507,2399,7587,19003,18129,25127,7258,2959,60052.67514,42,12,86,45,61,72,90
2022/2/23,9192,3645,977,49052,963,79234,2042,39103,64770,3279,575,884,550,589,874,8165,1120,5104,46711,20373,5171,5055,20885.38122,83,62,72,90,49,11,58
2022/2/24,4775,3899,776,59790,1798,95519,2168,92431,86970,3461,979,948,809,635,748,2236,7347,28724,39908,28230,7466,5369,29813.21142,49,44,37,34,89,96,10
2022/2/25,1350,1384,969,80568,406,11165,2657,96411,90521,5038,947,992,906,719,847,3114,1614,29867,11096,47190,6031,1862,58269.88946,28,67,70,58,56,99,21
2022/2/26,1842,3534,838,51357,1158,28999,1918,81241,57830,8574,621,541,691,558,991,2761,9217,9946,45029,47751,7088,2377,47929.88489,87,14,52,89,16,58,73
2022/2/27,7431,2797,990,96066,2083,19079,1748,49330,59356,9263,564,824,784,985,620,9921,9518,15551,37860,16116,6858,8996,15162.72388,84,58,47,78,90,20,76
2022/2/28,5354,548,754,42171,2694,48168,327,75717,96222,3883,645,866,859,628,593,1371,3655,15860,21488,57094,7141,9527,22630.69909,80,25,28,11,85,11,68
2022/3/1,1882,4484,905,49133,1602,95228,1885,38416,69275,2840,675,973,936,585,713,4750,600,38876,13199,57595,8710,5992,53522.7148,53,17,59,32,95,33,85
2022/3/2,8508,4523,613,22906,850,49936,2650,88729,99986,1080,653,822,628,713,705,3304,4981,51204,33174,15450,6930,2212,59217.81993,61,41,93,24,81,43,10
2022/3/3,9523,2697,803,56175,2395,86828,2405,60046,54397,1615,672,830,811,590,540,9247,2638,38994,55145,30557,8667,2018,42631.77107,96,53,59,36,23,88,20
2022/3/4,3838,3923,717,85695,1870,59532,2209,30277,54804,4209,889,996,564,650,879,9175,1240,14287,54169,43231,8820,9203,67327.10849,64,19,6,73,88,76,61
2022/3/5,1383,1111,744,2720,2638,43097,104,45773,67773,7220,941,999,991,524,570,5949,9589,10918,17527,42341,9790,5058,25634.1748,56,66,25,85,21,82,55
2022/3/6,2240,4398,542,85031,1341,82164,1766,95643,94311,2283,533,835,862,698,933,8859,5523,11014,24175,48132,7491,2599,51407.45854,66,86,88,15,42,62,7
2022/3/7,3874,3170,690,35336,1509,55764,2599,52072,88721,3760,504,684,569,783,914,3629,8607,47265,32137,30060,5681,8028,25325.05993,9,69,37,35,97,47,5
2022/3/8,1938,4098,719,72064,2536,15997,323,33785,72153,5150,516,972,620,974,603,7659,2175,32323,49822,22526,9093,6536,49549.79767,14,37,81,21,3,84,9
2022/3/9,7452,2566,638,41427,2296,19869,287,77447,84798,7593,896,787,532,504,611,8732,6611,5070,53003,57593,8849,9058,12100.32215,28,57,6,63,97,30,30
2022/3/10,3375,2131,992,38682,1317,12802,679,45804,83762,4845,675,836,573,601,897,2068,5018,44606,39967,17192,5208,4951,10469.16589,51,32,56,93,47,89,84
2022/3/11,7451,4980,787,26628,2119,37781,347,84597,51957,3825,990,647,696,896,769,1803,7010,51145,11025,40632,6802,5339,37676.16244,71,59,85,80,56,96,98
2022/3/12,3022,4269,593,6381,408,97732,1811,70981,54376,3521,794,595,832,947,517,4293,3339,47423,11005,23086,9012,2349,28287.5702,79,77,76,11,44,29,68
2022/3/13,5002,1053,681,62249,379,89356,359,70771,97432,8919,719,542,870,816,766,1901,3754,25730,10314,48789,5367,5377,2870.247722,25,91,7,71,26,28,8
2022/3/14,4383,3676,516,15472,322,12480,2037,62232,54646,8270,702,897,927,783,594,773,673,31628,26173,37358,5762,6393,2028.291275,24,97,13,1,23,25,28
2022/3/15,8396,2302,740,16137,2292,42687,2651,76725,71679,7622,691,560,796,564,883,5725,848,51662,24887,20568,5525,6496,27056.54906,61,23,57,30,30,99,36
2022/3/16,7611,4734,541,33989,1451,18379,1590,46221,64954,1900,874,947,936,973,810,2576,877,33798,13480,21482,7885,4440,79333.74882,54,15,20,55,80,61,51
2022/3/17,1832,1228,725,29173,2945,36918,2023,67604,92833,8350,538,975,554,926,552,8189,9096,48174,58082,20732,7522,1114,56019.61329,31,34,33,57,83,3,41
2022/3/18,5351,1489,846,95695,2373,93912,894,35775,79203,1076,881,663,828,891,683,5605,7934,9664,30097,38881,5083,2676,57057.97873,29,80,14,54,89,84,48
2022/3/19,5467,4829,812,38465,2299,16536,2217,94435,83451,6718,655,578,981,843,772,8845,4672,37797,11824,32457,6897,8920,34747.94479,70,3,43,91,40,83,66
2022/3/20,7385,1812,706,20838,1595,37441,1766,58256,94759,3214,804,586,531,793,880,3746,327,29745,11491,39717,8230,8038,34336.30242,73,63,36,6,2,58,11
2022/3/21,9988,4860,613,78274,2870,24728,807,78134,95522,1166,559,610,863,835,938,9580,6714,56250,43941,10509,9698,1121,61951.02452,33,13,6,64,46,66,4
2022/3/22,3604,4730,539,78395,2471,41102,1737,59956,99247,2655,648,517,633,927,641,8173,5508,41853,57573,15739,9288,6728,80106.87112,51,45,89,80,66,43,75
2022/3/23,1075,4603,555,42684,2306,62877,2053,54141,87043,2295,947,636,904,735,635,7449,3571,13652,23007,34591,7783,6921,32266.58846,19,47,78,92,68,26,54
2022/3/24,9914,2814,751,73956,1481,42247,817,41096,52135,2763,795,903,872,915,971,7634,2816,13837,19642,28557,7979,1071,50615.00972,54,7,55,55,94,10,63
2022/3/25,9791,3389,967,36760,1838,91561,1222,30021,51499,9521,834,819,993,820,666,4351,4440,6504,18024,38621,7041,1511,15207.94415,4,53,95,91,63,58,57
2022/3/26,1436,2395,940,60392,1517,72534,350,90731,55255,7818,803,641,941,761,934,2750,3063,53716,50420,17172,7802,6592,34955.22835,98,6,3,53,97,28,32
2022/3/27,7356,4682,548,72534,1544,83085,1410,98738,81031,8023,971,810,957,519,505,7822,1248,33877,45261,28747,6310,7113,71482.31914,42,13,48,41,13,64,77
2022/3/28,4333,4889,791,55050,2123,78476,2984,38705,50001,1292,901,506,718,761,502,7574,2495,13751,36961,58918,8933,8050,33764.43437,16,45,0,12,19,27,10
2022/3/29,5716,2604,902,42959,2711,60316,2157,92682,91817,5985,708,806,954,936,935,6663,7378,56485,29879,29445,5030,2766,37739.06231,50,26,19,39,79,15,42
2022/3/30,1556,1330,693,18229,2981,36119,1999,57504,73082,7553,826,762,584,650,625,9484,4629,58594,50078,46793,7354,6546,42144.40931,38,20,11,66,17,63,0
2022/3/31,5193,1786,735,81791,1812,35616,1750,42264,60178,1834,881,759,968,669,758,4119,3113,14297,39525,51826,7691,3463,72518.71088,4,96,25,33,67,82,48
2022/4/1,9904,1077,949,81973,2501,92885,2876,76914,63551,8460,875,847,576,507,984,8954,5837,17883,50676,44159,7158,2585,4119.65451,87,25,3,31,88,22,9
2022/4/2,5244,4201,726,87527,725,32760,1052,56776,59875,6455,557,568,749,966,878,5784,1266,13610,58083,42733,7421,3328,60797.79,50,48,52,3,67,93,62
2022/4/3,9476,874,899,73671,713,30727,469,62660,77936,3725,936,863,755,531,726,8780,2793,54298,39794,40865,9842,8143,28870.90218,71,1,84,37,40,82,67
2022/4/4,7409,3093,817,82768,814,98286,909,53621,81215,6952,973,653,974,823,557,7884,9226,38930,22558,36509,6753,8326,15333.48603,82,11,91,32,46,4,89
2022/4/5,2076,3525,542,77201,1629,52226,2026,57667,51271,7165,756,654,927,849,922,6481,8463,28769,29666,31483,6355,5234,46369.01234,19,34,43,44,69,84,70
2022/4/6,4380,1868,846,21025,2053,61188,2819,69164,83996,8677,694,854,691,594,735,8171,3503,10138,47199,52630,8251,6511,8403.333999,96,72,35,82,24,63,1
2022/4/7,5894,630,687,96392,1124,92673,501,59172,54217,9478,540,841,879,768,938,1444,6393,25987,16352,44187,5235,6131,16604.41182,49,42,88,16,10,36,16
2022/4/8,4730,1311,877,93250,948,95561,2242,98577,88811,4228,959,653,954,922,990,9696,8128,15025,28548,44930,5877,1921,64465.74941,93,1,14,28,45,52,86
2022/4/9,1818,4723,510,99285,1021,62649,1047,63690,79419,2200,567,986,903,666,932,718,984,13697,41288,19975,9063,6575,10030.67603,72,49,6,60,65,93,61
2022/4/10,7224,740,921,8565,1949,41428,1664,64923,82362,4793,672,916,653,733,685,2795,7098,33325,45168,54424,6353,5020,19953.27198,93,20,55,13,74,0,22
2022/4/11,1537,1501,672,27419,2365,22986,931,66698,74052,4389,569,945,921,715,749,6277,4436,42357,47723,53300,6148,7081,42967.88949,34,32,49,94,72,92,35
2022/4/12,2297,2981,631,34926,2178,37121,371,68182,61484,7187,627,983,527,553,912,1569,1984,22629,59674,22413,7264,4884,48781.01799,16,28,51,57,8,40,23
2022/4/13,6015,649,551,98227,2888,36968,916,35530,61843,8258,943,713,864,791,964,6288,5106,14040,25600,38713,8922,3515,27382.02954,36,7,46,33,45,1,50
2022/4/14,9450,2262,643,14319,2448,88708,2591,46491,80341,9586,630,811,810,693,517,4789,8467,35672,44142,49110,5853,3805,70038.57251,11,76,51,9,26,81,9
2022/4/15,2026,4604,848,98373,809,33902,1247,75660,65872,8124,799,602,974,904,607,8761,8061,15534,37603,12389,9239,6680,41022.98237,19,88,37,81,39,60,98
2022/4/16,8562,4752,624,32934,2533,71798,1726,93300,92851,5638,603,656,584,746,818,3902,3554,29270,39903,25758,6405,5345,59773.79494,53,4,52,72,23,68,32
2022/4/17,7824,4676,683,56452,2494,29698,1940,35268,97212,7138,622,704,742,598,558,1727,4880,31980,43492,43617,6403,3141,84025.59548,4,59,55,8,6,58,95
2022/4/18,8633,1420,553,8320,1064,42568,581,63848,91844,9633,745,652,775,602,916,5539,1248,46985,10709,21974,9331,5325,33808.27894,95,67,22,20,12,36,93
2022/4/19,2703,1642,752,23462,1917,80047,1016,48372,64858,8176,571,963,530,979,674,7972,7524,25186,29263,51195,7414,2768,44807.85008,9,87,54,25,30,55,34
2022/4/20,5678,4995,692,54059,1443,15698,2621,73752,93570,5301,521,653,585,661,811,7754,1833,10100,51901,55318,8429,3979,62879.06763,6,19,15,93,64,70,81
2022/4/21,2953,4953,526,27320,2360,54627,928,79484,86848,8185,759,965,506,911,840,9814,1485,49632,36199,49073,8049,7273,28458.99004,35,60,73,21,13,17,74
2022/4/22,5779,1895,738,75150,2664,19992,1398,62135,73408,7434,774,619,630,617,581,8325,1905,56636,50445,52720,9227,7993,53672.30591,56,78,66,93,41,72,3
2022/4/23,3385,4125,832,87651,2847,48466,975,71515,68400,6748,955,533,674,917,955,7499,3730,10379,30130,23023,7568,6805,77793.24453,54,84,88,66,7,93,26
2022/4/24,2233,2514,732,11081,448,50752,2450,49385,84482,5991,743,936,742,961,530,9762,4836,15418,55999,31885,5299,5625,71909.5198,34,25,9,39,6,86,76
2022/4/25,1376,1240,743,55562,2079,61189,573,56084,84565,4226,540,819,670,610,530,759,4528,21221,54558,57569,5807,1517,43668.85982,0,57,86,25,76,74,95
2022/4/26,6764,958,914,68974,1305,49395,2566,49547,50803,3288,830,800,731,743,899,8017,2702,6029,33547,36935,5420,6774,14035.46731,14,81,19,24,57,39,83
2022/4/27,2477,2335,876,45138,684,10114,647,82066,68243,8767,971,540,871,811,639,4370,1568,40954,25935,32319,8006,4720,12814.22505,86,45,33,47,68,73,33
2022/4/28,5464,1125,832,70238,1908,71092,1470,52608,51632,8949,901,910,813,617,566,2923,6390,36257,28379,50196,5752,9456,25905.60365,67,99,44,56,4,32,81
2022/4/29,8903,4444,743,60429,2549,52893,2346,62423,66120,1437,863,687,917,532,762,2159,5571,20685,53972,26901,6286,7310,13035.09197,48,10,75,27,10,27,7
2022/4/30,5265,1236,840,76065,1914,15316,811,46000,65755,3218,805,517,886,707,588,8875,2675,21636,33990,54708,8057,8549,14562.22057,52,47,83,93,7,61,9
2022/5/1,7986,652,853,64264,1521,51663,1223,94516,75074,9592,917,525,731,704,759,4494,364,15559,53169,24361,9612,7505,62604.9405,73,29,11,37,32,61,16
2022/5/2,3397,2882,507,82755,994,66656,1820,76814,84790,5077,635,511,664,987,781,8623,1943,57937,23358,23768,5919,3925,52440.60509,45,59,54,59,90,76,59
2022/5/3,3985,1336,988,22302,1502,41624,2054,45475,95452,7617,879,765,986,873,569,741,9138,43701,54264,23834,9010,7533,79430.07167,83,3,39,47,99,13,65
2022/5/4,2019,1446,982,13563,2870,95379,1762,63025,50623,6397,686,705,814,727,504,6162,9477,48421,11977,54820,5111,6407,5301.555241,58,40,86,23,21,38,50
2022/5/5,9942,4271,797,2094,2196,96807,2568,49300,58795,2249,786,561,932,773,561,2255,1506,59234,17719,16723,6800,5612,58844.56119,21,33,57,85,43,42,4
2022/5/6,1914,4338,786,68893,2912,24080,2937,71818,78314,2894,919,840,532,567,662,526,7238,12047,48797,43002,6172,2282,33037.66304,26,62,7,41,17,11,16
2022/5/7,7978,1852,666,44995,1133,95341,525,59222,75158,6527,713,983,738,547,666,7953,8464,48927,55876,58496,6195,4080,75175.64364,78,19,60,32,35,74,43
2022/5/8,4151,2508,703,45227,2227,56614,689,55775,51729,2035,996,575,655,652,579,1270,3633,11934,40129,39470,5388,4868,23389.74288,86,22,62,74,1,32,76
2022/5/9,6268,600,841,75854,889,68022,798,52117,98943,4937,614,807,554,759,596,2458,2441,46315,22330,48549,8408,6802,68673.1853,24,27,8,13,20,73,99
2022/5/10,4995,4055,743,28576,435,54795,955,53996,94758,8354,790,942,679,611,705,6610,6272,14956,51607,12469,9948,3326,56785.55214,40,99,98,3,94,18,41
2022/5/11,2050,2736,917,93234,1301,23123,552,41726,82179,6501,969,511,694,511,733,7233,1822,55318,23584,38992,6306,7379,11831.11212,16,93,26,12,98,27,21
2022/5/12,1045,3078,553,85594,1192,69991,562,94448,91752,4860,636,701,888,707,785,4840,5748,32442,33490,34024,9885,7680,25399.20296,75,65,39,36,65,11,14
2022/5/13,8305,871,774,79286,750,26298,2533,72875,93110,2429,897,572,724,879,569,4991,876,11481,33482,35179,9899,2514,28188.10795,63,48,10,54,80,32,33
2022/5/14,7210,4643,969,34979,1550,59729,378,69042,51105,4800,574,712,544,603,703,4597,5964,49399,47214,33752,8655,3836,68395.57689,32,30,61,21,68,17,54
2022/5/15,6158,2438,555,14234,327,26643,1663,79201,62649,7676,576,935,872,987,620,9394,3903,47716,11987,52653,9968,8853,22041.11348,6,5,15,97,82,59,88
2022/5/16,1723,2748,519,12449,676,79217,1165,76276,91241,4054,866,501,504,511,595,1232,6400,19304,42239,57572,9876,8392,29628.06492,86,77,49,78,29,14,5
2022/5/17,2247,602,659,83186,522,10368,287,54394,86815,8935,614,591,862,546,800,4459,8667,16593,24697,11082,5527,6148,22852.50496,89,38,32,74,0,23,22
2022/5/18,8424,2866,948,28685,2167,77313,376,79550,95015,5768,970,864,880,747,992,7709,5980,35678,46333,24421,8142,4211,43510.37711,42,58,58,4,81,4,91
2022/5/19,7839,3263,940,6809,2591,86845,1541,44671,71905,5110,702,601,711,997,529,6061,8429,31498,42149,46066,8616,3930,29553.04154,30,5,14,22,74,82,25
2022/5/20,7039,4744,932,53780,479,61549,1935,92355,53251,4610,883,718,525,658,983,7442,2682,31826,33281,42451,8407,2663,34741.63288,15,90,89,63,3,24,7
2022/5/21,4796,4162,508,35643,1026,37562,2459,63410,81840,1748,645,713,784,644,837,2463,8908,21519,44369,41552,9915,7515,85266.54694,73,52,22,61,2,2,5
2022/5/22,8476,1629,755,29935,1797,92333,869,75730,52283,3125,540,895,960,797,971,4699,3322,13068,29046,39870,7489,9945,33445.0456,75,32,90,81,62,25,74
2022/5/23,3060,660,577,21937,1942,92111,2323,84190,77967,2021,613,739,639,953,715,5678,6677,9594,15474,12791,6612,2720,35364.36458,86,39,49,7,18,43,56
2022/5/24,7995,1195,861,20917,982,18118,2439,55134,90606,3347,680,975,748,946,509,4534,664,40380,11112,37456,7359,3369,86659.98043,35,25,49,7,8,71,73
2022/5/25,9199,2239,975,26888,1935,20625,430,42248,97043,8444,747,709,815,833,560,976,9195,29053,49359,58100,7972,3540,15384.06425,45,28,91,57,59,73,52
2022/5/26,3552,4126,787,39807,845,31783,1111,35667,98004,2011,526,565,658,958,618,5917,6138,36584,25297,51254,8631,3992,58873.0358,48,97,16,41,55,58,20
2022/5/27,8076,1074,503,40661,1608,79853,912,45535,82523,3036,837,527,527,630,655,6231,3366,18771,21376,28730,7299,6464,80003.50219,55,38,99,53,84,23,97
2022/5/28,8451,4996,639,69290,1411,72144,2780,96297,84484,7944,713,900,655,638,911,546,6562,25439,25462,33841,6352,1607,25212.15506,70,52,30,39,60,77,73
2022/5/29,1907,2415,530,82448,2294,15527,2192,98447,80697,4145,568,919,619,884,870,7079,2218,57545,59741,41054,5289,2066,63505.48341,42,6,65,96,47,91,63
2022/5/30,6937,1879,601,66632,2412,42855,2488,49391,68615,2765,534,825,709,712,592,7185,9967,35877,36722,31606,6244,1487,20761.21116,94,12,33,70,41,76,67
2022/5/31,6778,4527,575,60588,750,48737,1519,94156,95448,5035,745,608,774,876,704,2604,6859,5594,26812,42472,6069,2627,33008.28196,66,98,86,47,1,61,56
2022/6/1,6429,4399,894,39482,2841,31781,1508,48525,77322,8880,769,608,927,663,528,8139,8645,47560,15408,33935,9541,4979,11626.16602,95,93,89,83,63,74,13
2022/6/2,2910,2109,976,25022,2994,41172,537,47510,56699,1004,690,555,893,563,778,1847,7543,40661,44541,30179,9360,8907,73565.57002,46,19,18,8,0,82,96
2022/6/3,3452,4366,513,58177,2418,13360,191,75716,55305,6619,655,705,791,847,978,3074,8132,6914,52908,32886,7140,7240,18880.19494,34,18,82,17,49,47,64
2022/6/4,4199,1844,707,44221,2040,54262,2019,72529,52896,4024,768,781,699,887,750,5841,2252,16867,22989,45280,5930,3088,27683.60967,17,66,1,53,31,36,84
2022/6/5,4417,2184,680,73860,2567,49118,2279,68812,56545,7288,701,827,916,743,824,8588,5016,28718,22545,50239,5492,4514,38948.40146,41,93,15,79,23,84,85
2022/6/6,7537,1385,729,92580,707,91043,990,42431,89345,5829,851,691,503,667,507,5807,6800,55109,41129,25542,7323,8184,30542.98263,97,92,47,76,97,20,51
